,Name,first-language,first-language-predecessor,second-language,second-language-predecessor,third-language,third-language-predecessor,fourth-language,fourth-language-predecessor
0,ALB,Albanian,Indo-European,,,,,,
1,AUT,German,West Germanic,,,,,,
2,BEL,Dutch,West Germanic,French,Romance,German,West Germanic,,
3,BGR,Bulgarian,South Slavik,,,,,,
4,CHE,Romansh,Romance,French,Romance,German,West Germanic,Italian,Romance
5,CYP,Greek,Indo-European,Turkish,Turkic,,,,
6,CZE,Czech,West Slavic,,,,,,
7,DEU,German,West Germanic,,,,,,
8,DNK,Danish,North Germanic,,,,,,
9,EST,Estonian,Uralic,,,,,,
10,ESP,Spanish,Romance,,,,,,
11,FIN,Finnish,Uralic,,,,,,
12,FRA,French,Romance,,,,,,
13,HRV,Croatian,South Slavik,,,,,,
14,HUN,Hungarian,Uralic,,,,,,
15,ITA,Italian,Romance,,,,,,
16,LTU,Lithuanian,Baltic,,,,,,
17,LUX,Luxembourgish,West Germanic,German,West Germanic,French,Romance,,
18,LVA,Latvian,Baltic,,,,,,
19,MKD,Macedonian,South Slavik,Albanian,Indo-European,,,,
20,NLD,Dutch,West Germanic,,,,,,
21,NOR,Norweigan,West Germanic,,,,,,
22,POL,Polish,West Slavic,,,,,,
23,PRT,Portuguese,Romance,,,,,,
24,ROU,Romanian,Romance,,,,,,
25,SRB,Serbian,South Slavik,,,,,,
26,SWE,Swedish,North Germanic,,,,,,
27,SVN,Slovenian,South Slavik,,,,,,
28,SVK,Slovak,West Slavic,,,,,,
29,TUR,Turkish,Turkic,,,,,,
30,GBR,English,West Germanic,,,,,,
31,GRC,Greek,Indo-European,,,,,,
32,ISL,Icelandic,North Germanic,,,,,,
33,LIE,German,West Germanic,,,,,,
34,MLT,Maltese,West Semitic,English,West Germanic,,,,
35,BIH,Serbian,South Slavik,Croatian,South Slavik,Bosnian,South Slavik,,
36,IRL,Irish,Celtic,English,West Germanic,,,,
37,MNE,Montenegrin,South Slavik,,,,,,
